H,BEL,20090523,6,D,14Oct08  9PHA 1,TB,American Cruiser,120,5,G,Lb,C H Velasquez,1.75,1A,5,0,1,1,0,2,1,0,0,0,0,1,0,4,0.5,4,0,99,Dutrow Anthony W,"Dubb, Michael, Bethlehem Stables LLC and Selinger, John S.","AMERICAN CRUISER led early, regained lead stretch, yielded late",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,6,D,11Apr09  4AQU 8,TB,Grand Minstrel,120,4,C,L,J   Lezcano,6.6,3,1,0,3,2,0.5,1,0,0,0,0,0,6,3.5,7,4.5,7,0,92,Jerkens James A,Evans,"GRAND MINSTREL pressed, clear turn, gave way",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,6,D,01May09  3BEL 3,TB,Gimmearoutine,120,4,G,Lb,J F Chavez,35.75,4,3,0,7,5,3.1,5,2.5,0,0,0,0,8,7,8,8.5,8,0,84,Contessa Gary C,Petigrow,"GIMMEAROUTINE 4wide move turn, flattened out",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,6,D,03Apr09  8GP  2,TB,Big Train,120,6,G,L,E S Prado,3.1,5,4,0,2,3,2,3,1.5,0,0,0,0,2,0.5,2,0.3,2,0,100,Serpe Philip M,"Mystic Palm Stables, Hilly Fields Stable and Serpe, Philip, M.","BIG TRAIN stalked 3wide, bid stretch, led late, caught",,0,4.9,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,6,D,18Apr09  7GP  1,TB,Thou Swell,123,4,C,Lb,E   Coa,3.7,6,6,0,8,6,3.6,7,4,0,0,0,0,5,3,3,0.4,3,0,100,Weaver George,Sugartown Stable,"THOU SWELL broke slow, rail move, angled wide, belatedly",,0,0,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,6,D,26Feb09  8AQU 6,TB,Yield Bogey,120,5,G,L,J   Samyn,11,7,7,0,5,7,4.6,6,3.5,0,0,0,0,3,1.5,1,0,1,0,100,Kelly Patrick J,"Fox Ridge Farm, Inc.","YIELD BOGEY unhurried, traffic turn, angled 4wide, up late","Bay Gelding; 2004; Langfuhr-Upper Noosh (Red Ransom) Bred By:Fox Ridge Farm, Inc. (Kentucky)",24,9.8,6.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,6,D,10Apr09  8KEE 2,TB,Inti (URU),120,4,C,L,A   Garcia,6.3,8,8,0,6,8,6.6,8,5.5,0,0,0,0,7,5,5,1.7,5,0,97,McLaughlin Kiaran P,Shadwell Stable,"INTI (URU) outrun, blocked 1/4 pole, no threat",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,6,D,(15MAY09  7BEL 5),TB,Dubai Gold,0,0,,,,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,TB,BEL,20090523,7,D,Maiden Special Weight,43000,"(UP TO $8,170 NYSBFOA) FOR MAIDENS, THREE YEARS OLD  AND UPWARD. Three Year Olds, 118 lbs.; Older, 123 lbs.",,,,3U   ,650,F, ,D,87,FT,Clear,Good,4:15,-7,22.43,45.36,70.5,0,0,76.99,101,91,92,77.95,25800,8600,4300,2150,1290,215,215,215,215,0,2 Pick 3, 1-7-2,1215,83732,2 Daily Double, 7-2,132,96909,2 Exacta, 2-4,102,441772,2 Superfecta, 2-4-5-3,9056,119079,2 Trifecta, 2-4-5,1316,274157,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0
H,BEL,20090523,7,D,,TB,Action Plan,118,3,C,L,J F Chavez,34.5,1,1,0,9,9,19.2,9,13.5,0,0,0,0,8,14.5,7,13.1,7,0,65,Frankel Robert J,"Juddmonte Farms, Inc.","ACTION PLAN broke slow, no factor",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
